id,capability,maturity,score,built,gap,plug,next
SRC,Source / Ingestion / Data Landing,Strong proof,4,"NYC, Chicago, London, Barcelona, Helsinki and source landing/consumption packs; output ledger as project memory.","Production connectors, freshness SLAs, and source quality automation remain incomplete.","Feeds CER, Event Fabric, Data Quality dashboard, Synthetic Factory.",Normalize ingestion manifests into one SourceRegistry v1.
CER,Canonical Entity Registry,Contract strong / engine partial,3,"Entity contracts, ontology v2, provenance/confidence/review-state discipline.","Full resolution engine, conflict handling, duplicate/alias workflows and cross-city identity semantics are not complete.","Hard spine for graph, ASK, WATCH, BRIEF, spatial selection, federation.","Build CER Engine R1 with canonical_entities, source_entities, assertions, match_candidates and review queue."
SEG,Semantic Entity Graph,Working / breadth partial,3,"Canonical graph projections, R7 cross-domain edge substrate, relationship packets.","Energy/water/transport dependencies, service points, asset-to-asset dependencies and temporal edge semantics remain thin.","Powers impact reasoning, recall, plan, spatial context and cross-domain cascade.","Graph v2 over CER assertions with edge confidence, review_state and temporal validity."
EVT,Event Fabric / Operational State,Local/replay working / production thin,2,"R0/R0.1 contracts, local append/replay/materialization, unresolved/quarantine queues.","Production event-time semantics, live source onboarding, supersession and continuous monitoring not complete.",Turns WATCH/Incident/Spatial from static context into living review state.,"Event Fabric v1: append, replay, resolve, preserve, quarantine, materialize, query, trace."
CHECK,CHECK / Authority Envelope,v0 strong / v1 top dependency,3,"Source-class taxonomy, CheckReports, AuthorityEnvelopes, no-action/no-overclaim gates.","Contradiction, freshness, source-depth and detection-sufficiency checks need product-grade v1.","Attaches to every ASK, WATCH, BRIEF, DIFF, RECALL, PLAN, perception and spatial selection.",CHECK v1 with claim-to-evidence mapping and cannot-claim downgrade logic.
ASK,ASK / Query Intelligence,Bounded v1.1 / open router not sealed,3,"ASK handoff, sealed packet answers, staged router design.","Real operator corpus, natural open ASK router, selected-item context and refusal taxonomy still need validation.",Gateway into all product modes and client demo Q&A.,Staged ASK router R1: boundary -> intent family -> target -> answer lens -> selected context.
WATCH,WATCH / Review Queue,Working but shallow,2,"WatchItems, ranked queue items, scout services, family throttles.","More real query families, data depth, outcome loops and operator dismissal telemetry needed.","Main operator worklist; feeds BRIEF, CHECK, RECALL and workflow state.",WATCH v1 family library tied to domain packs and CHECK v1.
BRIEF,BRIEF / Evidence Packet,Functional prototype,3,"BRIEF v2 packets, Flow 1 package, executive/operator scripts.","Export quality, source-rich selected-item content and persona rendering need hardening.",Client-ready review packet and executive reporting layer.,BRIEF v3 templates with operator/planner/executive/persona policies.
RECALL_DIFF,RECALL + DIFF,Partial / promising,2,"Computed matchers, DiffItems, RecallMatchItems, similar-case retrieval.","Snapshot cadence, designed-change tests, computed match reasons across domains and precedent datasets need expansion.",Gives institutional memory and change detection to operator workspaces.,Recall/DIFF R2 on real snapshots with source-level change classifier.
PLAN,PLAN / SCHEDULE / SIMULATE,Review-only proof / incomplete stack,2,"Option sets, inverse dynamics, SUMO context, one cuOpt-style review problem, 9-stage runtime trace.","Full Incident/Plan orchestration, pandapower, EPANET, closed-loop simulation, uncertainty and calibration not complete.","Decision support and scenario comparison, never execution by default.","One simulator end-to-end, starting with SUMO then pandapower/EPANET."
PER,Perception / DeepStream / VSS / Metropolis,Functional local proof / candidate-only,3,"DeepStream runtime smoke, VSS evidence join, BMD-45 replay, cockpit review integration.","Licensed/live camera source registry, privacy policy, production CCTV, official-finding path not built.","Candidate observations into Event Fabric, CHECK and human review workflow.",Perception candidate schema + source registry + evidence clip retention policy.
SPATIAL,Spatial / Omniverse / WebRTC,Functional proof / UX partial,3,"Kit/Composer, OpenUSD binding, WebRTC R5/R6, object/event selection parity.","Product-grade scene UX, event overlays at scale, native workflow states and authoring pipeline still need polish.",Turns spatial selection into the same entity/evidence/limitation truth as web cockpit.,Hero-neighbourhood twin with event overlay and evidence card click-through.
